unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
European Pennyroyal,mentha pulegium l,not specified,cold dry,['data not available'],['amenorrhea anemia'],['data not available'],500 mg to 1 gram,the herb formulation is used in the treatment of amenorrhea anemia,,یورپی پینیروئل,مینٹا پولیجیم I,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['امینوریا انیمیا'],['دستیاب نہیں'],500 مگرا سے 1 گرام تک,جڑی بوٹیوں کی تشکیل امینوریہ انیمیا کے علاج میں استعمال کی جاتی ہے
European Peony,paeonia officinalis l,not specified,cold wet,['data not available'],['acne allergy arthrosis f apa'],['data not available'],7 to 12 grams,the herb formulation is used in the treatment of acne allergy arthrosis f apa,,یورپی پیونی,پائیونیا آفیشل,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['ایکنی الرجی آرٹروزس f apa'],['دستیاب نہیں'],7 سے 12 گرام,جڑی بوٹیوں کی تشکیل کو ایکنی الرجی آرٹروزس کے علاج میں استعمال کیا جاتا ہے
European Water Hemlock,cicuta virosa l,not specified,hot dry,['data not available'],['adenopathy cancer cancer'],['data not available'],1 2 gm,the herb formulation is used in the treatment of adenopathy cancer cancer,,یورپی پانی کا ہیملاک,سیکوٹا وائرس,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ایڈنوپتی کینسر کینسر'],['دستیاب نہیں'],12 گرام,جڑی بوٹیوں کی تشکیل ایڈنپتی کینسر کے علاج میں استعمال ہوتی ہے
European Yew,taxus baccata l,not specified,hot dry,['data not available'],['amenorrhea angina asthma'],['data not available'],3 5 gm,the herb formulation is used in the treatment of amenorrhea angina asthma,,یورپی یوو,ٹیکسس باکیٹا I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['امینوریہ اینجینا آسم'],['دستیاب نہیں'],3 5 جی ایم,جڑی بوٹیوں کی تشکیل امینوریہ اینجینا آسم کے علاج میں استعمال ہوتی ہے
Evening Primrose,oenothera biennis l,not specified,cold wet,['data not available'],['add alcoholism allergy alopecia alzheimer s anxiety arthrosis 2 apa can'],['data not available'],2 4 gm,the herb formulation is used in the treatment of add alcoholism allergy alopecia alzheimer s anxiety arthrosis 2 apa can,,شام کا پھول,دیگر دوہری,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['شامل کریں شراب نوشی الرجی الزیمرز کی پریشانی آرتروز 2 اے پی اے'],['دستیاب نہیں'],24 گرام,جڑی بوٹیوں کی تشکیل کو شراب نوشی الرجی شامل کرنے کے علاج میں استعمال کیا جاتا ہے الزیمرز کی اضطراب آرتروز 2
Eyebright,euphrasia spp,not specified,hot dry,['data not available'],['allergy asthma bacteria blepharosis blindness bronchosis cancer catarrh cold conjunctivosis conges'],['data not available'],2 5g daily,the herb formulation is used in the treatment of allergy asthma bacteria blepharosis blindness bronchosis cancer catarrh cold conjunctivosis conges,,آنکھوں کی چمک,ایفراسیہ ایس پی پی,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['الرجی آسم بیکٹیریا بلفاریس اندھیری برونکوسیس کینسر کیٹار سردی کنکشنٹیوسیس conges'],['دستیاب نہیں'],روزانہ 2 5 جی,جڑی بوٹیوں کی تشکیل الرجی کی علاج میں استعمال کیا جاتا ہے آسم بیکٹیریا بلیفاروز اندھیری برونکوسیس کینسر کیٹار سردی کنکشنٹوسیس conges
Faba Bean,vicia faba l,not specified,cold wet,['data not available'],['adenopathy alcoholism bronchosis burn callus cancer cancer breast cancer eyelid 1 fnf'],['data not available'],2 3 gm,the herb formulation is used in the treatment of adenopathy alcoholism bronchosis burn callus cancer cancer breast cancer eyelid 1 fnf,,فبا بین,وکیفیا فابا ایل,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['adenopathy الکحل برونکوسیس برن کالوس کینسر کینسر چھاتی کینسر پلک 1 fnf'],['دستیاب نہیں'],2 3 جی ایم,جڑی بوٹی کی تشکیل ایڈنپتی الکوحلزم برونکوسیس برن کالوس کینسر کینسر چھاتی کینسر آنکھ کے پلک 1 fnf کے علاج میں استعمال کیا جاتا ہے
"Fairy Flax, Mountain Flax",linum catharticum l,not specified,hot dry,['data not available'],['amenorrhea ascites bronchosis'],['data not available'],1 2 gm,the herb formulation is used in the treatment of amenorrhea ascites bronchosis,,پری فین، پہاڑ فین,لینم کیتھرکسیم,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['امینوریہ اسکیٹس برونکوسیس'],['دستیاب نہیں'],12 گرام,جڑی بوٹیوں کی تشکیل امینوریہ اسکیٹس برونکوسس کے علاج میں استعمال کی جاتی ہے
"Fang Ji, Han Fang Ji",stephania tetrandra s moore,not specified,cold dry,['data not available'],['allergy amebiasis angina arrhythmia arthrosis asthma atherosclerosis autoimmunism cancer carbuncles f daa constipation diabetes'],['data not available'],1 3 gm,the herb formulation is used in the treatment of allergy amebiasis angina arrhythmia arthrosis asthma atherosclerosis autoimmunism cancer carbuncles f daa constipation diabetes,,فانگ جی، ہان فانگ جی,اسٹیفانیہ ٹٹرانڈرا کی مور,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['الرجی امبیازس اینجینا آریتھمیا آرتھروسس آسم آٹوموونزم کینسر کاربنکلز f daa قبضہ ذیابیطس'],['دستیاب نہیں'],13 گرام,جڑی بوٹی کی تشکیل الرجی امبیاسس آنجینا آریتھمیا آرتھروسس آسم آٹوسکلروزس آٹو امیونزم کینسر کاربنکلز f daa قبضہ ذیابیطس کے علاج میں استعمال کیا جاتا ہے
Fennel,foeniculum vulgare mill,not specified,hot dry,['data not available'],['aerophagia alactea amenorrhea'],['data not available'],3 5g decoction,the herb formulation is used in the treatment of aerophagia alactea amenorrhea,,فینل,فونیکولوم ولگری مل,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ایروفاگیا الاکٹیا امینوریہ'],['دستیاب نہیں'],3 5 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل ایروفیگیا الاکٹیا امینوری کے علاج میں استعمال کی جاتی ہے
Fenugreek,trigonella foenum graecum l,not specified,hot dry,['data not available'],['abscess adenopathy alactea 1 ph2'],['data not available'],1 2 gm,the herb formulation is used in the treatment of abscess adenopathy alactea 1 ph2,,فینوگریک,ٹراگونلا فینم گریکم I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیکار ایڈنپتی الاکٹیا 1 ph2'],['دستیاب نہیں'],12 گرام,جڑی بوٹیوں کی تشکیل کو ابسیسی ایڈنپتی الاکٹیا 1 ph2 کے علاج میں استعمال کیا جاتا ہے
Fever Bark,alstonia constricta f muell,not specified,hot dry,['data not available'],['cramp diarrhea high blood'],['data not available'],1 3 gm,the herb formulation is used in the treatment of cramp diarrhea high blood,,بخار کا جھونکا,الستونیا کنسٹرکٹا ف مول,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['کمپ ڈائریا ہائی بلڈ'],['دستیاب نہیں'],13 گرام,جڑی بوٹیوں کی تشکیل کو ہائی بلڈ کراپ ڈائریا کے علاج میں استعمال کیا جاتا ہے
Fig,ficus carica l,not specified,hot dry,['data not available'],['abscess adenopathy acne alopecia'],['data not available'],1 3 gm,the herb formulation is used in the treatment of abscess adenopathy acne alopecia,,انجیر,ficus carica I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیکار ایڈنپاتی ایکن ایلوپیسیا'],['دستیاب نہیں'],13 گرام,جڑی بوٹیوں کی تشکیل کو ابسیسی ایڈنپتی ایکن ایلوپیسیا کے علاج میں استعمال کیا جاتا ہے
Figwort,scrophularia nodosa l,not specified,hot dry,['data not available'],['adenopathy bite boil bruise'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of adenopathy bite boil bruise,,فگورٹ,سکروفیلیریا نوڈوسا,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ایڈنپتی کاٹنا ابلنا بلیوز'],['دستیاب نہیں'],3 سے 5 گرام,جڑی بوٹی کی تشکیل ایڈنپتی کاٹنے کے لئے استعمال کیا جاتا ہے
Fireweed,epilobium angustifolium l,not specified,hot dry,['data not available'],['abscess arthrosis bacteria 1 phr ph2'],['data not available'],3 to 9 grams,the herb formulation is used in the treatment of abscess arthrosis bacteria 1 phr ph2,,جھاڑیوں کا پھول,ایپیلوبیوم اینگوسٹیفولیوم,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیٹریوں کے ساتھ آرکس آرٹروز 1 phr ph2'],['دستیاب نہیں'],3 سے 9 گرام,جڑی بوٹیوں کی تشکیل کو بیٹریوں کے علاج میں استعمال کیا جاتا ہے جو کہ گٹھ جوڑ کی خرابی کا شکار ہیں
"Five-Leaved Chaste Tree, Huang Jing",vitex negundo l,not specified,hot dry,['data not available'],['angina anxiety arthrosis'],['data not available'],1 2 gm,the herb formulation is used in the treatment of angina anxiety arthrosis,,پانچ پتیوں والا پاک درخت، ہانگ جنگ,ویٹیکس نیگینڈو I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['اینجینا اضطراب آرتروز'],['دستیاب نہیں'],12 گرام,جڑی بوٹیوں کی تشکیل کو اینجینا اضطراب آرتروزس کے علاج میں استعمال کیا جاتا ہے
"Flannelweed, Country Mallow",sida cordifolia l,not specified,hot dry,['data not available'],['ameba angina arthrosis'],['data not available'],1 3 gm,the herb formulation is used in the treatment of ameba angina arthrosis,,فلانل وڈ، کنٹری مالو,امراض قلب,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['امبیبا اینجینا آرتروز'],['دستیاب نہیں'],13 گرام,جڑی بوٹیوں کی تشکیل امبیبا اینجینا آرتروز کے علاج میں استعمال کی جاتی ہے
Flax,linum usitatissimum l,not specified,hot dry,['data not available'],['abscess acid stomach acne adenopathy f'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of abscess acid stomach acne adenopathy f,,لیموں,linum usitatissimum l,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیکار پیٹ کی تیزابیت کی ایڈنپتی f'],['دستیاب نہیں'],5 سے 7 گرام,جڑی بوٹیوں کی تشکیل کا استعمال بیکار اسٹیج کی تیزابیت ایڈنپتی کے علاج میں کیا جاتا ہے
"Foam-Flower, Coolwort",tiarella cordifolia l,not specified,hot dry,['data not available'],['backache conjunctivosis cystosis'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of backache conjunctivosis cystosis,,فوم پھول، کولورٹ,ٹائرلا کارڈی فولیا I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیک پیڈ کنکشنٹیوسیس سسٹوسس'],['دستیاب نہیں'],5 سے 7 گرام,ہربل فارمولا بیک بیک درد کنکشنٹیوسیس سسٹوسس کے علاج میں استعمال کیا جاتا ہے
Fool’S Parsley,aethusa cynapium l,not specified,cold dry,['data not available'],['cancer cancer liver cancer mesentery f f'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of cancer cancer liver cancer mesentery f f,,پاگل پارسل,ایتھوسا سیناپیم I,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['کینسر کینسر جگر کینسر mesentery f f'],['دستیاب نہیں'],3 سے 5 گرام,جگر کے کینسر کے کینسر کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Fo-Ti,polygonum multiflorum thunb,not specified,hot dry,['data not available'],['abscess adenopathy allergy'],['data not available'],1 to 3 grams,the herb formulation is used in the treatment of abscess adenopathy allergy,,فُ-تی,کثیرالجہتی کثیرالجہتی تھونب,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیکار ایڈنپاتی الرجی'],['دستیاب نہیں'],1 سے 3 گرام,جڑی بوٹیوں کی تشکیل کو بیسسیس ایڈنپتی الرجی کے علاج میں استعمال کیا جاتا ہے
Four O’Clock,mirabilis jalapa l,not specified,cold dry,['data not available'],['abortion abscess acne bleeding boil bruise cancer candida'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of abortion abscess acne bleeding boil bruise cancer candida,,چار بجے,معجزہ جلیپاس,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['اسقاط حمل بیکار پنروک خونریزی ابھرتے ہوئے بلیوں کینسر کینڈیڈا'],['دستیاب نہیں'],5 سے 7 گرام,جڑی بوٹی کی تشکیل کا استعمال اسقاط حمل کے علاج میں کیا جاتا ہے ، ایکنی بیکار خون بہاؤ ، کینسر کینڈیڈا
"Frankincense, Olibanum",boswellia sacra flueck,not specified,hot dry,['data not available'],['alzheimer s arthrosis asthma bilharzia boil bronchosis callus cancer cancer anus cancer breast cancer eye cancer penis cancer spleen'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of alzheimer s arthrosis asthma bilharzia boil bronchosis callus cancer cancer anus cancer breast cancer eye cancer penis cancer spleen,,خوشبو، اولیبانم,boswellia sacra flueck,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['الزائمر کی آرتروز آسمہ بلہارسیا ابلنا برونکوسیس کالوس کینسر کینسر آنس کینسر چھاتی کینسر کینسر آنکھ کینسر عضو تناسل کینسر ہپ'],['دستیاب نہیں'],3 سے 5 گرام,جڑی بوٹی کی تشکیل الزائمر کی آرتروز کے علاج میں استعمال کی جاتی ہے آسمہ بلہارسیا ابل برونکوسیس کالوس کینسر کینسر آنس کینسر چھاتی کینسر کینسر آنکھ کینسر عضو تناسل کینسر ہپہ
Fringetree,chionanthus virginicus l,not specified,cold dry,['data not available'],['adenopathy bruise'],['data not available'],500 mg to 1 gram,the herb formulation is used in the treatment of adenopathy bruise,,فرینگیٹری,چیانتھس ورجینیکوس I,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['ایڈنپتی بلیوں'],['دستیاب نہیں'],500 مگرا سے 1 گرام تک,جڑی بوٹیوں کی تشکیل ایڈنپتی بلیوز کے علاج میں استعمال کی جاتی ہے
"Fucus, Bladderwrack",fucus vesiculosus l,not specified,cold dry,['data not available'],['adenopathy arthrosis atherosclerosis f mad'],['data not available'],7 to 12 grams,the herb formulation is used in the treatment of adenopathy arthrosis atherosclerosis f mad,,فوکس، بلیڈر ریک,فوکس ویسیکلوسس,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['ایڈنپتی آرتروز ایتھروسکلروزس f mad'],['دستیاب نہیں'],7 سے 12 گرام,جڑی بوٹیوں کی تشکیل ایڈنپتی آرتھروسس ایتھروسکلروزس f mad کے علاج میں استعمال کی جاتی ہے
Fumitory,fumaria officinalis l,not specified,cold wet,['data not available'],['acne alopecia amenorrhea arrhythmia arthrosis atherosclerosis bile duct spasm 2'],['data not available'],1 2 gm,the herb formulation is used in the treatment of acne alopecia amenorrhea arrhythmia arthrosis atherosclerosis bile duct spasm 2,,فومٹوری,فوماریا آفسینالیس,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['مںہاسی امونوری آریتھمیا آرتھروسز ایتھروسکلروزس گیلے کے راستے کی spasm 2'],['دستیاب نہیں'],12 گرام,جڑی بوٹی کی تشکیل کو ایکنی الپیسیا امینوریہ آرتھرومیہ آرتھروسز ایتھروسکلروزس گیلے کے راستے کی spasm 2 کے علاج میں استعمال کیا جاتا ہے
Galanga,kaempferia galanga l,not specified,hot wet,['data not available'],['boil bruise cancer childbirth f'],['data not available'],3 5 gm,the herb formulation is used in the treatment of boil bruise cancer childbirth f,,گالنگا,کیمپفیریا گالنگا,مخصوص نہیں,گرم مٹی,['دستیاب نہیں'],['ابالے کا زخم کینسر پیدائش f'],['دستیاب نہیں'],3 5 جی ایم,جڑی بوٹیوں کی تشکیل کو ابھرتے ہوئے زخموں کے کینسر کے علاج میں استعمال کیا جاتا ہے
Galbanum,ferula gummosa boiss,not specified,hot dry,['data not available'],['allergy amenorrhea asthma bacteria 1'],['data not available'],2 4 gm,the herb formulation is used in the treatment of allergy amenorrhea asthma bacteria 1,,گالبانوم,ferula gummosa بوئس,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['الرجی امینوریہ آسم بیکٹیریا 1'],['دستیاب نہیں'],24 گرام,جڑی بوٹیوں کی تشکیل الرجی امینوریہ آسم بیکٹیریا کے علاج میں استعمال کی جاتی ہے 1
Gamboge,garcinia hanburyi hook f,not specified,cold dry,['data not available'],['bacteria cancer constipation 1 crc'],['data not available'],consult practitioner,the herb formulation is used in the treatment of bacteria cancer constipation 1 crc,,گبگو,garcinia hanburyi ہک f,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['بیکٹیریا کینسر قبض 1 سی آر سی'],['دستیاب نہیں'],مشاورت کرنے والا,جڑی بوٹیوں کی تشکیل بیکٹیریا کینسر قبض کے علاج میں استعمال کی جاتی ہے 1 crc
Garden Cress,lepidium sativum l,not specified,cold dry,['data not available'],['anorexia asthma bacteria 1'],['data not available'],2 3 gm,the herb formulation is used in the treatment of anorexia asthma bacteria 1,,باغ کا کراس,لیپڈیم سٹیوٹم I,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['آنوریکسیا آسم بیکٹیریا 1'],['دستیاب نہیں'],2 3 جی ایم,جڑی بوٹیوں کی تشکیل کو آنوریکسیا آسم بیکٹیریا کے علاج میں استعمال کیا جاتا ہے 1
"Gardenia, Cape Jasmine",gardenia jasminoides j ellis,not specified,hot dry,['data not available'],['abscess altitude sickness atherosclerosis bacteria bite bleeding blennorrhea'],['data not available'],1 2 gm,the herb formulation is used in the treatment of abscess altitude sickness atherosclerosis bacteria bite bleeding blennorrhea,,گارڈینیا، کیپ جاسمین,گارڈینیا جاسمینوڈیس جے ایللیس,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیٹریاں خون بہانے والی بلینوری کا کاٹنے سے ارتھوسکلروزس'],['دستیاب نہیں'],12 گرام,جڑی بوٹی کی تشکیل کو اعلیٰ سطح کی بیماری کے علاج میں استعمال کیا جاتا ہے، بیکٹریا کے پیٹ میں خون بہنے والی بلینوری
Gardenia Oleander,strophanthus gardeniiflorus gilg,not specified,hot dry,['data not available'],['anxiety atherosclerosis cardiopathy f'],['data not available'],1 3 gm,the herb formulation is used in the treatment of anxiety atherosclerosis cardiopathy f,,گارڈینیا اولیاندر,سٹرفینتھس گارڈینی فلورس گلگ,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['اضطراب ایتھروسکلروزس دل کی بیماری f'],['دستیاب نہیں'],13 گرام,جڑی بوٹیوں کی تشکیل کو اضطراب و خستہ حال و دل کی بیماری کے علاج میں استعمال کیا جاتا ہے
Garlic,allium sativum l,not specified,cold dry,['data not available'],['abscess acne adenopathy'],['data not available'],500mg 1g,the herb formulation is used in the treatment of abscess acne adenopathy,,لہسن,allium sativum I,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['بیکار پن adenopathy'],['دستیاب نہیں'],500 ملی گرام 1 گرام,جڑی بوٹیوں کی تشکیل کو بیکار مںہاسی adenopathy کے علاج میں استعمال کیا جاتا ہے
Garlic Weed,petiveria alliacea l,not specified,hot dry,['data not available'],['arthrosis asthma boil'],['data not available'],1 2 gm,the herb formulation is used in the treatment of arthrosis asthma boil,,لہسن کی جھاڑی,پیٹیویریا الیاکیا I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['آرتھروس آسمہ ابھرتے ہوئے'],['دستیاب نہیں'],12 گرام,ہرس فارمولاٹ آرٹروزس آسٹما کی دوائیوں کے علاج میں استعمال کیا جاتا ہے
Gentian,gentiana lutea l,not specified,cold wet,['data not available'],['achlorhydria anemia anorexia 2'],['data not available'],1 3 gm,the herb formulation is used in the treatment of achlorhydria anemia anorexia 2,,غیر ملکی,جینیٹینا لوٹیا,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['ایچلو ہائیڈریا انیمیا اینورکسیا 2'],['دستیاب نہیں'],13 گرام,ہیرب فارمولا کو ایچلو ہائڈریا انیمیا اینورکسیا کے علاج میں استعمال کیا جاتا ہے 2
German Sarsaparilla,carex arenaria l,not specified,cold dry,['data not available'],['amenorrhea arthrosis colic f'],['data not available'],1 3 gm,the herb formulation is used in the treatment of amenorrhea arthrosis colic f,,جرمن سارساپارلا,کیریکس آریریا,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['امینوریہ آرتروز کولک f'],['دستیاب نہیں'],13 گرام,جڑی بوٹیوں کی تشکیل امینوریہ آرتروزس کولک کے علاج میں استعمال کی جاتی ہے
Ginger,zingiber officinale roscoe,not specified,hot dry,['data not available'],['adenopathy aging alcoholism allergy 1'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of adenopathy aging alcoholism allergy 1,,گندھک,زنجبر آفسینیل روسو,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ایڈنپتی عمر بڑھنے والی شراب نوشی الرجی 1'],['دستیاب نہیں'],3 سے 5 گرام,جڑی بوٹیوں کی تشکیل ایڈنپتی عمر رسیدہ شراب نوشی الرجی کے علاج میں استعمال کی جاتی ہے 1
"Ginseng, Oriental Ginseng",panax ginseng c a mey,not specified,hot dry,['data not available'],['aging alcoholism amnesia f'],['data not available'],3 to 9 grams,the herb formulation is used in the treatment of aging alcoholism amnesia f,,جینسنگ، مشرقی جینسنگ,پیناکس جینسنگ,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['عمر بڑھنے والی شراب نوشی امنیشیا f'],['دستیاب نہیں'],3 سے 9 گرام,جڑی بوٹیوں کی تشکیل عمر رسیدہ شراب نوشی امنیشیا f کے علاج میں استعمال کی جاتی ہے
Glory-Lily,gloriosa superba l,not specified,hot dry,['data not available'],['acne arthrosis ascites bacteria bite bright s disease bruise cancer candida childbirth cholera colic 1 crc'],['data not available'],1 2 gm,the herb formulation is used in the treatment of acne arthrosis ascites bacteria bite bright s disease bruise cancer candida childbirth cholera colic 1 crc,,جلال للی,gloriosa superba I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ایکنی آرتروزس آسٹسٹس بیکٹیریا کاٹ روشن کی بیماری بلیوز کینسر کینڈیڈا پیدائش کولرا کولک 1 سی آر سی'],['دستیاب نہیں'],12 گرام,جڑی بوٹی فارمولا ایکنی آرتروزس اسکیٹس کے علاج میں استعمال کیا جاتا ہے بیکٹیریا کاٹنے روشن بیماری بلیوز کینسر کینڈیڈا پیدائش کولرا کولک 1 سی آر سی
Glossy Privet,ligustrum lucidum w t aiton,not specified,hot dry,['data not available'],['abscess allergy arthrosis backache bacteria cachexia cancer cardiopathy caries cold congestion constipation immunodepression 1'],['data not available'],1 3 gm,the herb formulation is used in the treatment of abscess allergy arthrosis backache bacteria cachexia cancer cardiopathy caries cold congestion constipation immunodepression 1,,چمکتی ہوئی پرائیویٹ,ligustrum lucidum w t aiton,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['بیکار الرجی آرتروز بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک بیک'],['دستیاب نہیں'],13 گرام,جڑی بوٹی کی تشکیل بیسسیس الرجی آرتروزس بیک پیسٹ بیکٹیریا کیچیکسیا کینسر کارڈیپتیاس سردی بھنگاری قبضہ امیونوڈپریشن 1
Goat’S Rue,galega officinalis l,not specified,hot dry,['data not available'],['diabetes diarrhea dysbiosis dyslactea dyspepsia enterosis epilepsy'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of diabetes diarrhea dysbiosis dyslactea dyspepsia enterosis epilepsy,,گائے کی سڑک,گالیگا آفیشل,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ذیابیطس اسہال dysbiosis dyslactea dyspepsia enterosis epilepsy'],['دستیاب نہیں'],5 سے 7 گرام,اس جڑی بوٹی کی تشکیل کو ذیابیطس، اسہال، ڈسبیوسیس، ڈسلیکٹیا، ڈسپیپسیا، اینٹیروسس، ایپلیپسی،
"Golden Chain Tree, Pea Tree",laburnum anagyroides medik,not specified,cold dry,['data not available'],['asthma constipation cramp depression pertussis vertigo f crc'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of asthma constipation cramp depression pertussis vertigo f crc,,گولڈن چین درخت، پیاس درخت,laburnum anagyroides medik,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['آسمہ قبضہ کمپ ڈپریشن کھرداری vertigo f crc'],['دستیاب نہیں'],5 سے 7 گرام,جڑی بوٹیوں کی تشکیل کو آسمہ قبضہ کمپن ڈپریشن pertussis vertigo f crc کے علاج میں استعمال کیا جاتا ہے
Golden Dewdrop,duranta erecta l,not specified,hot dry,['data not available'],['malaria varicosis'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of malaria varicosis,,گولڈن ڈو ڈراپ,duranta erecta I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['ملیریا وارکوسس'],['دستیاب نہیں'],3 سے 5 گرام,جڑی بوٹیوں کی تشکیل ملیریا وارکوزس کے علاج میں استعمال کی جاتی ہے
Golden Eye-Grass,curculigo orchioides gaertn,not specified,hot dry,['data not available'],['anorexia arthrosis asthma atrophy biliousness bleeding f kab'],['data not available'],1 to 3 grams,the herb formulation is used in the treatment of anorexia arthrosis asthma atrophy biliousness bleeding f kab,,گولڈن آئی گراس,curculigo orchioides gaertn,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['آنوریکسی آرتھروز آسمہ ایٹروفیہ بیلیوسیاس خونریزی'],['دستیاب نہیں'],1 سے 3 گرام,جڑی بوٹیوں کی تشکیل کو اینورکسیا آرتروزس آسما ایٹروفیہ بیلیوسیس خونریزی f kab کے علاج میں استعمال کیا جاتا ہے
Goldenrod,solidago virgaurea l,not specified,hot dry,['data not available'],['albuminuria amenorrhea arthrosis asthma atony bladder stone 2 apa'],['data not available'],5 to 7 grams,the herb formulation is used in the treatment of albuminuria amenorrhea arthrosis asthma atony bladder stone 2 apa,,گولڈنڈروڈ,سولڈاگو ورجوریا I,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['albuminuria amenorrhea arthrosis آسم Atony مثانے کی پتھر 2 apa'],['دستیاب نہیں'],5 سے 7 گرام,جڑی بوٹیوں کی تشکیل کو البومینوریہ امینوریہ آرتروزس آسما ایٹونی مثانے کی پتھر 2 apa کے علاج میں استعمال کیا جاتا ہے
Goldenseal,hydrastis canadensis l,not specified,cold wet,['data not available'],['acne adenopathy alcoholism alzheimer s ameba anorexia 1'],['data not available'],3 to 5 grams,the herb formulation is used in the treatment of acne adenopathy alcoholism alzheimer s ameba anorexia 1,,گولڈن سیل,ہائڈرسٹس کینیڈینسس,مخصوص نہیں,سرد گیلے,['دستیاب نہیں'],['مںہاسی ایڈنپتی شراب نوشی الزائمر امبی بے خوابی 1'],['دستیاب نہیں'],3 سے 5 گرام,جڑی بوٹیوں کی تشکیل ایکنی ایڈنپتی الزیمرز امبیبا انوریکسیا 1
